Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
ENSG00000207088,9,24.15,88.1,10,46,26,5,1,168,83,44,18,66,17,20.36,50.92,23.62,14,25,10,19,21,30,27.55,57.49,17.92,6.46,33,27.55,20,9,0,1,21,15.51,9.66,15,2.08,18.69,2,57.48,15,6,13,6,11.21,26.61,24.11,17.04,6,5.07,8.27,21.17,18.14,44,18.01,13
ENSG00000207165,17.25,76.71,73.31,9.38,23.03,0,9.69,34.05,394.2,217.48,15.1,6.14,113.54,46.85,23.26,31.28,27.89,15.29,13.09,12.4,12.28,0,8.71,18.63,42.65,40.41,7.76,24.14,28.01,5.3,0.88,21.81,2.84,0,20.84,18.4,24.64,22.46,26.51,3.67,22.03,5.83,0,0.68,1.21,0,22.67,54.05,14.99,13.15,19.24,7.65,45.79,29.17,41.5,19.5,48.64
ENSG00000208892,12,9,16,11,7,0,0,0,179,66,46,24,15,17,12,41,1,10,17,5,7,7,21,4,5,14,5,5,6,19,5,0,0,0,4,5,10,1,1,4,13,0,0,0,1,2,5,12,5,4,2,0,3,3,4,0,4
ENSG00000224506,22.35,0,0,0,0,0,0,0,0,0,8,8.67,0,0,5.21,1,0,0,0,0,0,4,1,0,0,89.93,0,0,0,146.51,33.57,0,37.09,0,8.48,0,3,0,0,0,0,1,0,0,1,7.29,300.19,72.31,0,44.74,5,158.79,0,14.95,0,32,3.21
ENSG00000225647,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,27,2,0,1,5,0,0,0,1,0,0,0,4,31,3,20,3,0,0,5,2,2,1,0,0,0
ENSG00000226091,194.4,10.48,52,50.75,16,5,10,0,0,4,4,40,13.01,0,3,12.1,84.54,24,107.29,9.08,43,33,15,7.06,31,136.86,50.03,63,50.71,101,37,12,23,110,4.02,18.16,60,92.37,21,3,16.77,177.28,30,15,35.75,38,236.87,41.16,164.89,236.62,222.77,225.37,13.16,337,190.15,19,71.69
ENSG00000226599,0,0,3,2,0,0,0,0,0,0,0,6,0,0,0,1,1,1,3,0,0,0,5,2,1,2,1,0,6,18,0,28,2,0,18,0,0,8,0,1,0,0,6,11,9,1,23,4,2,5,0,6,4,10,10,6,6
ENSG00000226721,0,12.32,0,0.61,0,57,0,219,52,0,0,35.25,2,0,2.59,13.09,0,12.06,0,25,8,24.59,1.38,0.61,3,1.64,9,4,12.6,0,6.29,0,7.45,0,0,0,4,0,5,8.45,14.26,3,0,3,8,0.99,0,11.35,0,12.75,5.62,2,12.49,3.98,0,13.63,10.9
ENSG00000228590,1,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,9,4,0,0,0,3,0,2,0,29,0,10,0,0,4,0,0,13,1,50,0,8,0,0,3,2,5,156,2,0,6,10
ENSG00000229953,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,47.42,1,2,0,0,0,3.17,0,0,6.1,0,16,0,0,5.04,0,0,0,2,0,0,5.02,20.54,7,0,2.07,12.79,0,127.22,3,16.55
