Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,46,47,T03_1_048,T04_1_070,T05_3_044,T08_2_164,T10_2_117,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,T01_1_016,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_3_020,T09_3_077,T10_1_291,T11_1_015,T11_3_146
ENSG00000205704,0,0,0,19,25,0,0,0,0,0,0,3,51,40,2,4,0,1,0,4,1,2,1,2,8,9,7,5,4,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,5,2,0,3
ENSG00000206043,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,56,0,0,0,14,0,0,0,0,10,26,0,4,5,0,5,9,0,0,2,2
ENSG00000206811,13.75,39.42,39.25,0,0.55,8.52,5.73,0,132.71,23.59,31.98,6.67,34.24,34.32,8.92,28.34,24.31,6.88,6.76,5.17,6.8,2.64,8.89,18.48,2.98,0.29,15.75,10.13,3.99,13.79,4.8,3.96,16.39,9.69,6.97,3.96,5,0.49,1.5,1.75,0.15,15.83,1.91,6.54,2.97,3.89,0,0.66,8.84,12.8,25.18,4.58,3.4,19.4,11.54,2.81,4.11
ENSG00000207088,9,24.15,88.1,10,46,26,5,1,168,83,44,18,66,17,20.36,50.92,23.62,14,25,10,19,21,30,57.48,15,13,57.49,27.55,5.07,44,17.92,6.46,33,27.55,20,9,0,1,21,15.51,9.66,15,2.08,18.69,2,6,6,11.21,26.61,24.11,17.04,6,8.27,21.17,18.14,18.01,13
ENSG00000207523,0,4,8,1,4,0,0,0,60,32,2,2,10,13,0,13,6,0,3,0,4,2,0,23,0,0,9,1,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,1,1,0,0,1,2,6,0,1
ENSG00000208892,12,9,16,11,7,0,0,0,179,66,46,24,15,17,12,41,1,10,17,5,7,7,21,13,0,0,5,4,2,4,14,5,5,6,19,5,0,0,0,4,5,10,1,1,4,0,1,2,5,12,5,4,0,3,3,0,4
ENSG00000216863,30,0,11,6,19,0,13,0,23,0,6,0,13,13,3,38,6,1,5,0,1,0,3,9,1,9,13,3,19,4,0,12,12,38,136,3,4,19,0,60,18,8,7,3,23,64,75,19,12,5,0,20,6,103,44,18,26
ENSG00000224506,22.35,0,0,0,0,0,0,0,0,0,8,8.67,0,0,5.21,1,0,0,0,0,0,4,1,0,1,0,0,0,5,0,89.93,0,0,0,146.51,33.57,0,37.09,0,8.48,0,3,0,0,0,0,1,7.29,300.19,72.31,0,44.74,158.79,0,14.95,32,3.21
ENSG00000224769,53.49,0,2,96.93,40.89,50.06,20.32,0,73.94,0,72.63,45.39,0,0,31.49,34.07,30.92,5,45.91,135.17,63.29,57.59,4.14,64.7,32.34,2.77,0,25.36,11.34,25.66,3.35,4.28,10.57,1.27,14.43,59.04,9.91,44.96,0,12.54,0,2,2.69,0,4.21,0,15.37,5.66,1.62,3.83,0,13.24,18.79,4.53,25.39,18.63,3.5
ENSG00000228590,1,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,9,4,0,0,0,3,0,2,0,29,0,10,0,0,4,13,50,0,8,0,0,3,5,156,2,6,10
